"Data","Moeda","Configuracao","Pontos"
"2023-02-27","GBP","Força","3518"
"2023-02-28","GBP","Força","3911"
"2023-03-01","NZD","Força","6198"
"2023-03-02","USD","Força","2173"
"2023-03-03","JPY","Força","2224"
"2023-03-05","JPY","Força","2224"
"2023-03-06","EUR","Força","3320"
"2023-03-07","AUD","Fraqueza","6245"
"2023-03-08","EUR","Fraqueza","1284"
"2023-03-09","JPY","Força","3912"
"2023-03-10","GBP","Força","5350"
"2023-03-12","GBP","Força","5350"
"2023-03-13","JPY","Força","10700"
"2023-03-14","JPY","Fraqueza","7646"
"2023-03-15","JPY","Força","11535"
"2023-03-16","GBP","Fraqueza","4325"
"2023-03-17","NZD","Força","2923"
"2023-03-19","NZD","Força","2923"
"2023-03-20","JPY","Força","7385"
"2023-03-21","EUR","Força","7562"
"2023-03-22","JPY","Fraqueza","4388"
"2023-03-23","NZD","Força","4461"
"2023-03-24","JPY","Força","9593"
"2023-03-26","JPY","Força","9593"
"2023-03-27","JPY","Fraqueza","4370"
"2023-03-28","CHF","Fraqueza","3423"
"2023-03-29","JPY","Fraqueza","7412"
"2023-03-30","JPY","Fraqueza","2172"
"2023-03-31","JPY","Força","2086"
"2023-04-02","JPY","Força","2086"
"2023-04-03","AUD","Força","7178"
"2023-04-04","GBP","Força","7293"
"2023-04-05","AUD","Fraqueza","6074"
"2023-04-06","NZD","Fraqueza","4470"
"2023-04-07","NZD","Força","1662"
"2023-04-09","NZD","Força","1662"
"2023-04-10","JPY","Fraqueza","3498"
"2023-04-11","NZD","Fraqueza","3900"
"2023-04-12","AUD","Força","2713"
"2023-04-13","JPY","Fraqueza","4050"
"2023-04-14","NZD","Fraqueza","1976"
"2023-04-16","NZD","Fraqueza","1976"
"2023-04-17","GBP","Força","1758"
"2023-04-18","USD","Fraqueza","2875"
"2023-04-19","USD","Força","2711"
"2023-04-20","AUD","Força","1538"
"2023-04-21","NZD","Fraqueza","4964"
"2023-04-23","NZD","Fraqueza","4964"
"2023-04-24","JPY","Fraqueza","4420"
"2023-04-25","AUD","Fraqueza","3273"
"2023-04-26","EUR","Força","6716"
"2023-04-27","NZD","Força","3814"
"2023-04-28","JPY","Fraqueza","12684"
"2023-04-30","JPY","Fraqueza","12684"
"2023-05-01","AUD","Força","3645"
"2023-05-02","AUD","Força","8319"
"2023-05-03","JPY","Força","5016"
"2023-05-04","NZD","Força","6479"
"2023-05-05","CHF","Fraqueza","5243"
"2023-05-07","CHF","Fraqueza","5243"
"2023-05-08","NZD","Força","3799"
"2023-05-09","JPY","Força","2699"
"2023-05-10","JPY","Força","972"
"2023-05-11","AUD","Fraqueza","2932"
"2023-05-12","NZD","Fraqueza","7523"
"2023-05-14","NZD","Fraqueza","7523"
"2023-05-15","JPY","Fraqueza","4920"
"2023-05-16","AUD","Fraqueza","3712"
"2023-05-17","NZD","Força","4110"
"2023-05-18","GBP","Fraqueza","1959"
"2023-05-19","NZD","Força","3349"
"2023-05-21","NZD","Força","3349"
"2023-05-22","JPY","Fraqueza","3517"
"2023-05-23","JPY","Força","4556"
"2023-05-24","NZD","Fraqueza","13078"
"2023-05-25","NZD","Fraqueza","2409"
"2023-05-26","USD","Fraqueza","2703"
"2023-05-28","USD","Fraqueza","2554"
"2023-05-29","JPY","Força","3183"
"2023-05-30","GBP","Força","4199"
"2023-05-31","JPY","Força","4250"
"2023-06-01","JPY","Fraqueza","2847"
"2023-06-02","AUD","Força","4502"
"2023-06-04","AUD","Força","4502"
"2023-06-05","GBP","Fraqueza","2975"
"2023-06-06","AUD","Força","6685"
"2023-06-07","GBP","Força","2566"
"2023-06-08","NZD","Força","1766"
"2023-06-09","JPY","Fraqueza","3609"
"2023-06-11","JPY","Fraqueza","3609"
"2023-06-12","CHF","Fraqueza","1842"
"2023-06-13","GBP","Força","2953"
"2023-06-14","GBP","Força","1572"
"2023-06-15","JPY","Fraqueza","6759"
"2023-06-16","JPY","Fraqueza","5288"
"2023-06-18","JPY","Fraqueza","5288"
"2023-06-19","NZD","Fraqueza","3419"
"2023-06-20","AUD","Fraqueza","6462"
"2023-06-21","AUD","Fraqueza","2643"
"2023-06-22","JPY","Fraqueza","2486"
"2023-06-23","AUD","Fraqueza","5320"
"2023-06-25","AUD","Fraqueza","5320"
"2023-06-26","GBP","Fraqueza","3403"
"2023-06-27","EUR","Força","2383"
"2023-06-28","NZD","Fraqueza","6424"
"2023-06-29","AUD","Força","3082"
"2023-06-30","GBP","Força","2943"
"2023-07-02","GBP","Força","2943"
"2023-07-03","CHF","Fraqueza","1953"
"2023-07-04","NZD","Força","3448"
"2023-07-05","AUD","Fraqueza","2407"
"2023-07-06","CAD","Fraqueza","3363"
"2023-07-07","JPY","Força","4306"
"2023-07-09","JPY","Força","4306"
"2023-07-10","AUD","Fraqueza","3628"
"2023-07-11","JPY","Força","5529"
"2023-07-12","JPY","Força","4412"
"2023-07-13","JPY","Fraqueza","5127"
"2023-07-14","JPY","Fraqueza","2435"
"2023-07-16","JPY","Fraqueza","2435"
"2023-07-17","NZD","Fraqueza","3286"
"2023-07-18","NZD","Fraqueza","6008"
"2023-07-19","GBP","Fraqueza","6860"
"2023-07-20","AUD","Força","6619"
"2023-07-21","JPY","Fraqueza","10409"
"2023-07-23","JPY","Fraqueza","10409"
"2023-07-24","EUR","Fraqueza","5232"
"2023-07-25","AUD","Força","3412"
"2023-07-26","AUD","Fraqueza","5395"
"2023-07-27","NZD","Força","2912"
"2023-07-28","GBP","Força","8376"
"2023-07-30","GBP","Força","8376"
"2023-07-31","JPY","Fraqueza","10999"
"2023-08-01","AUD","Fraqueza","7014"
"2023-08-02","JPY","Força","4400"
"2023-08-03","GBP","Fraqueza","5870"
"2023-08-04","CHF","Fraqueza","1589"
"2023-08-06","CHF","Fraqueza","1589"
"2023-08-07","JPY","Fraqueza","1492"
"2023-08-08","USD","Força","4883"
"2023-08-09","EUR","Força","1175"
"2023-08-10","JPY","Fraqueza","3252"
"2023-08-11","GBP","Força","3970"
"2023-08-13","GBP","Força","3970"
"2023-08-14","JPY","Fraqueza","1041"
"2023-08-15","GBP","Força","2883"
"2023-08-16","GBP","Força","3361"
"2023-08-17","USD","Fraqueza","2131"
"2023-08-18","JPY","Força","3819"
"2023-08-20","JPY","Força","3819"
"2023-08-21","JPY","Fraqueza","4998"
"2023-08-22","EUR","Fraqueza","3940"
"2023-08-23","GBP","Fraqueza","8131"
"2023-08-24","USD","Força","3313"
"2023-08-25","GBP","Força","1443"
"2023-08-27","GBP","Força","1443"
"2023-08-28","EUR","Força","802"
"2023-08-29","JPY","Fraqueza","2932"
"2023-08-30","GBP","Força","2852"
"2023-08-31","EUR","Fraqueza","4714"
"2023-09-01","JPY","Força","1977"
"2023-09-03","JPY","Força","1977"
"2023-09-04","JPY","Fraqueza","3551"
"2023-09-05","AUD","Fraqueza","6712"
"2023-09-06","AUD","Força","1544"
"2023-09-07","JPY","Força","3788"
"2023-09-08","NZD","Força","3137"
"2023-09-10","NZD","Força","3137"
"2023-09-11","AUD","Força","2831"
"2023-09-12","GBP","Fraqueza","2064"
"2023-09-13","AUD","Fraqueza","1387"
"2023-09-14","AUD","Força","2657"
"2023-09-15","JPY","Fraqueza","2983"
"2023-09-17","JPY","Fraqueza","2983"
"2023-09-18","JPY","Força","1808"
"2023-09-19","JPY","Fraqueza","2628"
"2023-09-20","GBP","Fraqueza","3535"
"2023-09-21","JPY","Força","5435"
"2023-09-22","NZD","Força","5816"
"2023-09-24","NZD","Força","5816"
"2023-09-25","NZD","Força","2090"
"2023-09-26","CAD","Fraqueza","2604"
"2023-09-27","GBP","Força","1829"
"2023-09-28","GBP","Força","2638"
"2023-09-29","NZD","Força","5272"
"2023-10-01","NZD","Força","5272"
"2023-10-02","AUD","Fraqueza","3168"
"2023-10-03","AUD","Fraqueza","5217"
"2023-10-04","NZD","Fraqueza","3403"
"2023-10-05","NZD","Força","2206"
"2023-10-06","JPY","Fraqueza","4324"
"2023-10-08","JPY","Fraqueza","4324"
"2023-10-09","GBP","Fraqueza","4104"
"2023-10-10","JPY","Fraqueza","3197"
"2023-10-11","NZD","Fraqueza","2403"
"2023-10-12","NZD","Fraqueza","2181"
"2023-10-13","NZD","Fraqueza","1701"
"2023-10-15","NZD","Fraqueza","1701"
"2023-10-16","AUD","Força","990"
"2023-10-17","GBP","Fraqueza","3214"
"2023-10-18","EUR","Fraqueza","1419"
"2023-10-19","EUR","Força","3367"
"2023-10-20","NZD","Fraqueza","1685"
"2023-10-22","NZD","Fraqueza","1685"
"2023-10-23","EUR","Força","1661"
"2023-10-24","AUD","Força","4522"
"2023-10-25","JPY","Força","1977"
"2023-10-26","EUR","Fraqueza","2128"
"2023-10-27","JPY","Força","3283"
"2023-10-29","JPY","Força","3283"
"2023-10-30","AUD","Força","3299"
"2023-10-31","JPY","Fraqueza","11224"
"2023-11-01","EUR","Fraqueza","3740"
"2023-11-02","EUR","Força","2549"
"2023-11-03","NZD","Força","1901"
"2023-11-05","NZD","Força","1901"
"2023-11-06","GBP","Força","4741"
"2023-11-07","AUD","Fraqueza","5406"
"2023-11-08","JPY","Fraqueza","1477"
"2023-11-09","NZD","Força","3217"
"2023-11-10","AUD","Fraqueza","1315"
"2023-11-12","AUD","Fraqueza","1315"
"2023-11-13","GBP","Força","2547"
"2023-11-14","EUR","Força","2992"
"2023-11-15","GBP","Fraqueza","4672"
"2023-11-16","NZD","Fraqueza","4001"
"2023-11-17","JPY","Força","6111"
"2023-11-19","JPY","Força","6111"
"2023-11-20","JPY","Força","9242"
"2023-11-21","JPY","Força","3423"
"2023-11-22","JPY","Fraqueza","3310"
"2023-11-23","GBP","Força","3482"
"2023-11-24","GBP","Força","1780"
"2023-11-26","GBP","Força","1780"
"2023-11-27","CAD","Fraqueza","1843"
"2023-11-28","CAD","Força","1933"
"2023-11-29","AUD","Fraqueza","3155"
"2023-11-30","EUR","Fraqueza","2589"
"2023-12-01","JPY","Fraqueza","1862"
"2023-12-03","JPY","Fraqueza","1862"
"2023-12-04","CHF","Fraqueza","2328"
