"Data","Moeda","Configuracao","Pontos"
"2024-10-18","GBP","Força","1443"
"2024-10-20","GBP","Força","1443"
"2024-10-21","CHF","Força","2067"
"2024-10-22","NZD","Força","3450"
"2024-10-23","JPY","Fraqueza","9668"
"2024-10-24","JPY","Força","2551"
"2024-10-25","GBP","Força","1423"
"2024-10-27","GBP","Força","1423"
"2024-10-28","GBP","Força","1702"
"2024-10-29","GBP","Força","3632"
"2024-10-30","GBP","Fraqueza","4646"
"2024-10-31","JPY","Força","2720"
"2024-11-01","JPY","Fraqueza","3792"
"2024-11-03","JPY","Fraqueza","3792"
"2024-11-04","USD","Fraqueza","2420"
"2024-11-05","AUD","Força","2958"
"2024-11-06","USD","Força","10690"
"2024-11-07","AUD","Força","5500"
"2024-11-08","JPY","Força","6097"
"2024-11-10","JPY","Força","6097"
"2024-11-11","JPY","Fraqueza","3572"
"2024-11-12","USD","Força","2501"
"2024-11-13","EUR","Força","1738"
"2024-11-14","USD","Força","2319"
"2024-11-15","JPY","Força","3786"
"2024-11-17","JPY","Força","3786"
"2024-11-18","NZD","Fraqueza","2951"
"2024-11-19","JPY","Força","4957"
"2024-11-20","JPY","Fraqueza","3612"
"2024-11-21","JPY","Força","5455"
"2024-11-22","GBP","Fraqueza","4456"
"2024-11-24","GBP","Fraqueza","4456"
"2024-11-25","AUD","Fraqueza","2916"
"2024-11-26","USD","Fraqueza","2880"
"2024-11-27","JPY","Força","6631"
"2024-11-28","JPY","Fraqueza","2536"
"2024-11-29","JPY","Força","6740"
"2024-12-01","JPY","Força","6740"
"2024-12-02","GBP","Força","2455"
"2024-12-03","JPY","Fraqueza","2522"
"2024-12-04","AUD","Fraqueza","7164"
"2024-12-05","USD","Fraqueza","1306"
"2024-12-06","NZD","Fraqueza","4545"
"2024-12-08","NZD","Fraqueza","4545"
"2024-12-09","JPY","Fraqueza","5140"
"2024-12-10","GBP","Força","4026"
"2024-12-11","JPY","Fraqueza","2489"
"2024-12-12","AUD","Força","3117"
"2024-12-13","JPY","Fraqueza","5789"
"2024-12-15","JPY","Fraqueza","5789"
"2024-12-16","GBP","Força","3350"
"2024-12-17","GBP","Força","3982"
"2024-12-18","NZD","Fraqueza","3301"
"2024-12-19","JPY","Fraqueza","17546"
"2024-12-20","JPY","Força","3923"
"2024-12-22","JPY","Força","3923"
"2024-12-23","USD","Força","1914"
"2024-12-24","GBP","Força","1305"
"2024-12-25","GBP","Força","1305"
"2024-12-26","JPY","Fraqueza","2087"
"2024-12-27","AUD","Fraqueza","1610"
"2024-12-29","AUD","Fraqueza","1610"
"2024-12-30","NZD","Força","2025"
"2024-12-31","NZD","Fraqueza","2373"
"2025-01-01","NZD","Fraqueza","2373"
"2025-01-02","GBP","Fraqueza","7126"
"2025-01-03","JPY","Fraqueza","1598"
"2025-01-05","JPY","Fraqueza","1598"
"2025-01-06","JPY","Fraqueza","6233"
"2025-01-07","NZD","Força","3794"
"2025-01-08","GBP","Fraqueza","5838"
"2025-01-09","GBP","Fraqueza","5359"
"2025-01-10","NZD","Fraqueza","1613"
"2025-01-12","NZD","Fraqueza","1613"
"2025-01-13","GBP","Fraqueza","7800"
"2025-01-14","GBP","Fraqueza","3439"
"2025-01-15","JPY","Força","5862"
"2025-01-16","JPY","Força","4317"
"2025-01-17","GBP","Fraqueza","2052"
"2025-01-19","GBP","Fraqueza","2052"
"2025-01-20","EUR","Força","3050"
"2025-01-21","USD","Força","5375"
"2025-01-22","JPY","Fraqueza","2678"
"2025-01-23","CHF","Fraqueza","702"
"2025-01-24","JPY","Fraqueza","3513"
"2025-01-26","JPY","Fraqueza","3513"
"2025-01-27","JPY","Força","7569"
"2025-01-28","JPY","Fraqueza","1867"
"2025-01-29","JPY","Força","2987"
"2025-01-30","JPY","Força","5636"
"2025-01-31","JPY","Fraqueza","4091"
"2025-02-02","JPY","Fraqueza","4091"
"2025-02-03","JPY","Força","3926"
"2025-02-04","NZD","Fraqueza","2249"
"2025-02-05","JPY","Força","4316"
"2025-02-06","JPY","Força","4842"
"2025-02-07","JPY","Fraqueza","5909"
"2025-02-09","JPY","Fraqueza","5909"
"2025-02-10","JPY","Fraqueza","2386"
"2025-02-11","JPY","Fraqueza","3949"
"2025-02-12","JPY","Fraqueza","4974"
"2025-02-13","CHF","Força","3588"
"2025-02-14","NZD","Força","2281"
"2025-02-16","NZD","Força","2281"
"2025-02-17","JPY","Força","3009"
"2025-02-18","NZD","Fraqueza","2228"
"2025-02-19","GBP","Fraqueza","3379"
"2025-02-20","JPY","Força","4287"
"2025-02-21","JPY","Fraqueza","3639"
"2025-02-23","JPY","Fraqueza","3639"
"2025-02-24","JPY","Fraqueza","1526"
"2025-02-25","NZD","Fraqueza","2207"
"2025-02-26","USD","Força","2470"
"2025-02-27","JPY","Fraqueza","4258"
"2025-02-28","NZD","Fraqueza","2845"
"2025-03-02","NZD","Fraqueza","2845"
"2025-03-03","GBP","Força","4976"
"2025-03-04","USD","Fraqueza","3937"
"2025-03-05","EUR","Força","3236"
"2025-03-06","JPY","Força","5903"
"2025-03-07","EUR","Força","6401"
"2025-03-09","AUD","Fraqueza","5987"
"2025-03-10","NZD","Força","3462"
"2025-03-11","EUR","Força","5360"
"2025-03-12","JPY","Fraqueza","4303"
"2025-03-13","JPY","Força","4358"
"2025-03-14","JPY","Fraqueza","5707"
"2025-03-16","JPY","Fraqueza","5707"
"2025-03-17","NZD","Força","3238"
"2025-03-18","JPY","Fraqueza","1995"
"2025-03-19","USD","Força","1839"
"2025-03-20","NZD","Fraqueza","7397"
"2025-03-21","CHF","Força","1656"
"2025-03-23","CHF","Força","1656"
"2025-03-24","NZD","Fraqueza","1955"
"2025-03-25","AUD","Força","2383"
"2025-03-26","GBP","Fraqueza","5262"
"2025-03-27","JPY","Fraqueza","6112"
"2025-03-28","JPY","Força","1852"
"2025-03-30","JPY","Força","1852"
"2025-03-31","AUD","Fraqueza","3745"
"2025-04-01","JPY","Força","5269"
"2025-04-02","NZD","Força","3571"
"2025-04-03","USD","Fraqueza","9802"
"2025-04-04","AUD","Fraqueza","23865"
"2025-04-06","AUD","Fraqueza","23865"
"2025-04-07","GBP","Fraqueza","9058"
"2025-04-08","NZD","Força","5799"
"2025-04-09","GBP","Fraqueza","7859"
"2025-04-10","USD","Fraqueza","7092"
"2025-04-11","USD","Fraqueza","4795"
"2025-04-13","USD","Fraqueza","4226"
"2025-04-14","GBP","Força","5617"
"2025-04-15","NZD","Força","5929"
"2025-04-16","USD","Fraqueza","3010"
"2025-04-17","JPY","Fraqueza","2718"
"2025-04-18","NZD","Fraqueza","4999"
"2025-04-20","NZD","Fraqueza","4999"
"2025-04-21","USD","Fraqueza","4284"
"2025-04-22","JPY","Força","5465"
"2025-04-23","JPY","Força","3826"
"2025-04-24","USD","Fraqueza","2296"
"2025-04-25","NZD","Fraqueza","2698"
"2025-04-27","NZD","Fraqueza","2698"
"2025-04-28","GBP","Força","3235"
"2025-04-29","USD","Força","2469"
"2025-04-30","JPY","Fraqueza","3357"
"2025-05-01","JPY","Fraqueza","8691"
"2025-05-02","GBP","Fraqueza","4524"
"2025-05-04","GBP","Fraqueza","4524"
"2025-05-05","JPY","Força","2797"
"2025-05-06","JPY","Força","4797"
"2025-05-07","EUR","Força","3617"
"2025-05-08","GBP","Força","5950"
"2025-05-09","JPY","Força","4090"
"2025-05-11","JPY","Força","4090"
"2025-05-12","JPY","Fraqueza","7106"
"2025-05-13","CAD","Fraqueza","3028"
"2025-05-14","JPY","Força","7363"
"2025-05-15","JPY","Força","3670"
"2025-05-16","NZD","Força","4070"
"2025-05-18","NZD","Força","4070"
"2025-05-19","EUR","Força","4055"
"2025-05-20","AUD","Fraqueza","5535"
"2025-05-21","JPY","Força","2213"
"2025-05-22","JPY","Força","3328"
"2025-05-23","USD","Fraqueza","4151"
"2025-05-25","USD","Fraqueza","3901"
"2025-05-26","NZD","Força","2263"
"2025-05-27","JPY","Fraqueza","6439"
"2025-05-28","NZD","Força","3438"
"2025-05-29","USD","Fraqueza","2206"
"2025-05-30","EUR","Fraqueza","1608"
"2025-06-01","CAD","Força","1521"
"2025-06-02","USD","Fraqueza","3704"
"2025-06-03","USD","Força","3527"
"2025-06-04","JPY","Fraqueza","3037"
"2025-06-05","JPY","Fraqueza","4462"
"2025-06-06","USD","Força","2001"
"2025-06-08","JPY","Fraqueza","1936"
"2025-06-09","NZD","Força","2576"
"2025-06-10","GBP","Fraqueza","4428"
"2025-06-11","NZD","Fraqueza","3071"
"2025-06-12","EUR","Força","4254"
"2025-06-13","USD","Força","4894"
"2025-06-15","USD","Força","3765"
"2025-06-16","NZD","Força","2792"
"2025-06-17","GBP","Fraqueza","2489"
"2025-06-18","JPY","Força","2428"
"2025-06-19","GBP","Força","6608"
"2025-06-20","GBP","Força","2638"
"2025-06-22","GBP","Força","2638"
"2025-06-23","JPY","Fraqueza","6188"
"2025-06-24","EUR","Fraqueza","3365"
"2025-06-25","JPY","Fraqueza","4986"
"2025-06-26","JPY","Força","2379"
"2025-06-27","AUD","Fraqueza","1828"
"2025-06-29","AUD","Fraqueza","1828"
"2025-06-30","GBP","Fraqueza","1619"
"2025-07-01","JPY","Força","5121"
"2025-07-02","CAD","Força","3466"
"2025-07-03","GBP","Força","2552"
"2025-07-04","JPY","Força","2917"
"2025-07-06","JPY","Força","2917"
"2025-07-07","USD","Força","3700"
"2025-07-08","AUD","Força","5472"
"2025-07-09","JPY","Força","2175"
"2025-07-10","AUD","Força","2602"
"2025-07-11","GBP","Fraqueza","3429"
"2025-07-13","GBP","Fraqueza","3429"
"2025-07-14","NZD","Fraqueza","1930"
"2025-07-15","NZD","Força","2226"
"2025-07-16","CHF","Fraqueza","1869"
"2025-07-17","GBP","Força","4872"
"2025-07-18","NZD","Força","2735"
"2025-07-20","NZD","Força","2735"
"2025-07-21","JPY","Força","3472"
"2025-07-22","NZD","Fraqueza","1544"
"2025-07-23","EUR","Fraqueza","4874"
"2025-07-24","AUD","Força","2555"
"2025-07-25","USD","Força","2584"
"2025-07-27","USD","Força","2096"
"2025-07-28","EUR","Fraqueza","5300"
"2025-07-29","EUR","Fraqueza","2206"
"2025-07-30","GBP","Força","3102"
"2025-07-31","JPY","Fraqueza","4700"
"2025-08-01","JPY","Força","3911"
"2025-08-03","JPY","Força","3911"
"2025-08-04","CHF","Fraqueza","2779"
"2025-08-05","JPY","Fraqueza","3245"
"2025-08-06","AUD","Força","2827"
"2025-08-07","GBP","Força","3828"
"2025-08-08","JPY","Fraqueza","5340"
"2025-08-10","JPY","Fraqueza","5340"
"2025-08-11","CHF","Fraqueza","1798"
"2025-08-12","GBP","Força","4353"
"2025-08-13","GBP","Força","2699"
"2025-08-14","JPY","Força","5970"
"2025-08-15","JPY","Força","2820"
"2025-08-17","JPY","Força","2820"
"2025-08-18","EUR","Fraqueza","2466"
"2025-08-19","CAD","Fraqueza","1128"
"2025-08-20","NZD","Fraqueza","9919"
